"","T.cells","B.cells","Monocytes","NK","DC","Neutrophils","avg_logFC","cell"
"VSIG4",0.239591988666712,0.397500897046648,14.1532406846776,0,416.084822378258,0.270276525838289,Inf,"DC"
"RTN1",0.00110365139272212,0.718645820519822,18.0506151635105,0,494.769268258147,0.288946982760665,Inf,"DC"
"LGALS2",0,3.04932886649482,57.6977919130785,0.44846728442345,1099.70221568709,0,Inf,"DC"
"ASGR2",0.0184418121016671,1.54833392311541,43.3448557267632,0,354.202877036696,0,Inf,"DC"
"UPK3A",0,0.345228972432473,4.27166269484957,0.0379802126810319,153.516498891494,0.292198816370438,Inf,"DC"
"HBEGF",0.146592318838842,0.923552492178944,13.1866462009868,0,324.22267263001,1.75151290538439,Inf,"DC"
"MARVELD1",0.104235507078326,0.399784706424425,6.30499490976692,0.695852095428673,108.866252440659,0,Inf,"DC"
"PPFIA4",0.128603771040011,1.18306154073074,9.94028206749231,0.231370877117138,150.519685446074,0,Inf,"DC"
"FBLN2",1.36235624995502,5.38201677480856,0.123915989230589,1.21508270594236,168.682555849564,0,Inf,"DC"
"TSPAN33",0.394777842049612,8.82968449439653,1.20442096230512,0.160527533459643,158.26536815028,0,Inf,"DC"
"TMEM86A",0.647939887707877,0.634728731066198,3.37326482883842,1.75843118655641,67.1359222752376,0,Inf,"DC"
"GPR84",0,0.531371550597001,13.9744816666394,0,116.455885386383,3.52140397612418,Inf,"DC"
"TFEC",0.00220479902865993,15.1134520573373,54.9224398897465,0,271.382993034838,0.148560667397159,Inf,"DC"
"PDK4",0,0.934313742677786,18.2585430635834,0.115952624262682,76.5365722095421,0.652911033312259,Inf,"DC"
"ARHGEF10L",0.00217393469629063,2.0689386315913,40.4581109502895,0,233.916473898628,0.00460422712783223,Inf,"DC"
"MS4A14",0,3.16161475110052,20.3972714241846,0.0157289386158787,81.6974513352638,0,Inf,"DC"
"TPPP3",0,0.831677146247616,22.6872302447392,0.0608597111208168,175.583381310364,0.249604318053015,Inf,"DC"
"P2RY2",0,0.33151476992012,9.72671884371648,0.182150710319338,63.120029509783,0.0503612659694259,Inf,"DC"
"LIPN",0.0699024893106882,1.28637917967511,28.3103058833238,0,37.8640765327398,5.91245019091596,Inf,"DC"
